"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"MAINTSEQ","Maintseq","","int64","Maintseq"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"M","Maintenance payments: anyone else","Yes , No ","object","Maintenance_payments_anyone_else"
"MRAGE","Maintenance payment: youngest childs age","","int64","Maintenance_payment_youngest_childs_age"
"MRAMT","Amount of last maintenance payment","","float64","Amount_of_last_maintenance_payment"
"MRARR1","Maint arrangements: CSA making arrangements on resp behalf","Yes , No , None ","object","Maint_arrangements_CSA_making_arrangements_on_resp_behalf"
"MRARR2","Maint arrangements: Crt order req resp to make payments","Yes , No , None ","object","Maint_arrangements_Crt_order_req_resp_to_make_payments"
"MRARR3","Maint arrangements: Voluntary agreement","Yes , No , None ","object","Maint_arrangements_Voluntary_agreement"
"MRARR4","Maint arrangements: Other","Yes , No , None ","object","Maint_arrangements_Other"
"MRCHWHY1","Maintenance payment changed: court order","Yes , No ","object","Maintenance_payment_changed_court_order"
"MRCHWHY2","Maintenance payment changed: CSA","Yes , No ","object","Maintenance_payment_changed_CSA"
"MRCHWHY3","Maintenance payment changed:afford more","Yes , No ","object","Maintenance_payment_changedafford_more"
"MRCHWHY4","Maintenance payment changed:afford less","Yes , No ","object","Maintenance_payment_changedafford_less"
"MRCHWHY5","Maintenance payment changed:needed more","Yes , No ","object","Maintenance_payment_changedneeded_more"
"MRCHWHY6","Maintenance payment changed:needed less","Yes , No ","object","Maintenance_payment_changedneeded_less"
"MRCHWHY7","Maintenance payment changed:lost contact","Yes , No ","object","Maintenance_payment_changedlost_contact"
"MRCHWHY8","Maintenance payment changed:broke contact","Yes , No ","object","Maintenance_payment_changedbroke_contact"
"MRCHWHY9","Maintenance payment changed:all others","Yes , No ","object","Maintenance_payment_changedall_others"
"MRKID","Maintenance payment: children covered","","int64","Maintenance_payment_children_covered"
"MRPD","Pcode:amount of last maintenance payment","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamount_of_last_maintenance_payment"
"MRUAMT","Amount of usual maintenance payment","","float64","Amount_of_usual_maintenance_payment"
"MRUPD","Pcode:amt of usual maintenance payment","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamt_of_usual_maintenance_payment"
"MRUS","Whether last maintenance payment usual","Yes , No , No such thing as usual ","object","Whether_last_maintenance_payment_usual"
"MRV","Whether amt of maintenance paid varied","Went up , Went down , Did not change (much) ","object","Whether_amt_of_maintenance_paid_varied"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
