"Variable","Variable Label","Possible Values","Column Type","Column Name"
"PERSID","Unique identifier","No answer, Does not apply","int64","Unique_identifier"
"FLOW","Categories relating to labour force gross flows","Aged 15 at both quarters, Entrant to working-age between first and final quarter, In employment at first quarter; in employment at final quarter (EE), In employment at first quarter; unemployed at final quarter (EU), In employment at first quarter; inactive at final quarter (EN), Unemployed at first quarter; in employment at final quarter (UE), Unemployed at first quarter; unemployed at final quarter (UU), Unemployed at first quarter; inactive at final quarter (UN), Inactive at first quarter; in employment at final quarter (NE), Inactive at first quarter; unemployed at final quarter (NU), Inactive at first quarter; inactive at final quarter (NN), Reached retirement age by final quarter, Does not apply, No answer","object","Categories_relating_to_labour_force_gross_flows"
"lgwt17","Longitudinal Weight 2017","No answer, Does not apply","float64","Longitudinal_Weight_2017"
"NET5","Not in education or training","No answer, Not in education/training, In education/training, Does not apply","object","Not_in_education_or_training"
"IL1BEF5","Period of sickness start day","No answer, the first day of your working week, before that, Does not apply","object","Period_of_sickness_start_day"
"NET4","Not in education or training","No answer, Not in education/training, In education/training, Does not apply","object","Not_in_education_or_training"
"IL1BEF4","Period of sickness start day","No answer, the first day of your working week, before that, Does not apply","object","Period_of_sickness_start_day"
"NET3","Not in education or training","No answer, Not in education/training, In education/training, Does not apply","object","Not_in_education_or_training"
"IL1BEF3","Period of sickness start day","No answer, the first day of your working week, before that, Does not apply","object","Period_of_sickness_start_day"
"NET2","Not in education or training","No answer, Not in education/training, In education/training, Does not apply","object","Not_in_education_or_training"
"IL1BEF2","Period of sickness start day","No answer, the first day of your working week, before that, Does not apply","object","Period_of_sickness_start_day"
"NET1","Not in education or training","No answer, Not in education/training, In education/training, Does not apply","object","Not_in_education_or_training"
"YVARY991","Why pay usually varies","Number of hours, days of work vary, Amounts of bonuses, tips etc varies, Number of hours overtime varies, Other reason, Does not apply, No answer","object","Why_pay_usually_varies"
"YTETJB1","Whether had paid job in addition to scheme","No answer, Yes, No, Does not apply","object","Whether_had_paid_job_in_addition_to_scheme"
"YSTART1","Reason could not start work within two weeks","Must complete education, Cannot leave present job within 2 weeks, Looking after family or home, Temp sick or injured, Long-term sick or disabled, Other reason, Does not apply, No answer","object","Reason_could_not_start_work_within_two_weeks"
"YPTJOB1","Reason for part-time job","Student or at school, Ill or disabled, Could not find full-time job, Did not want full-time job, Does not apply, No answer","object","Reason_for_parttime_job"
"YLESS61","Reason worked fewer hours than usual in reference week"," Number of hours worked/overtime varies, Bank holiday, Maternity or paternity leave, Parental leave, Other leave or holiday, Sick or injured, Training course away from workplace, Started new job or changed jobs, Ended job and did not start new one, Laid off/short time/work interrupted by bad weather, Laid off/short time/work interrupted by labour dispute at own workplace, Laid off/short time/work interrupted by economic/other causes, Other personal or family reasons, Other reasons, Does not apply, No answer","object","Reason_worked_fewer_hours_than_usual_in_reference_week"
"Y2JOB1","Whether had 2 jobs because of a change of job in reference week","No answer, Yes, changed jobs, No, Does not apply","object","Whether_had_2_jobs_because_of_a_change_of_job_in_reference_wee"
"WRKING1","Whether did paid work in reference week","No answer, Yes, No, Does not apply","object","Whether_did_paid_work_in_reference_week"
"WNEFT111","When left last job","Less than 3 months, 3 months, less than 6, 6 months, less than 12, 12 months, less than 18, 18 months, less than 24, 2 years, less than 3, 3 years, less than 4, 4 years, less than 5, 5 years or more, Never had paid job, Does not apply, No answer","object","When_left_last_job"
"WHYTMP61","Reason for temporary job","Contract inc training, Contract for probationary period, Could not find permanent job, Did not want permanent job, Some other reason, Does not apply, No answer","object","Reason_for_temporary_job"
"WEEK","Week number when interview took place","No answer, Does not apply","int64","Week_number_when_interview_took_place"
"WAVFND1","Wave at which household was first found","No answer, Does not apply","int64","Wave_at_which_household_was_first_found"
"WAIT1","Waiting to take up job already obtained","No answer, Yes, No, Does not apply","object","Waiting_to_take_up_job_already_obtained"
"W1YR","Year that address entered survey","No answer, Does not apply","int64","Year_that_address_entered_survey"
"VARYHR1","Whether weekly hours tend to vary","No answer, Yes, No, Does not apply","object","Whether_weekly_hours_tend_to_vary"
"USNET991","Whether last net pay same as usual","No answer, Yes, No, No usual amount, Does not apply","object","Whether_last_net_pay_same_as_usual"
"USGRS991","Whether last gross pay same as usual","No answer, Yes, No, No usual amount, Does not apply","object","Whether_last_gross_pay_same_as_usual"
"USESLP1","Documentation used to confirm income","Pay slip, Bank/building society accounts/statements, Other, None, Does not apply, No answer","object","Documentation_used_to_confirm_income"
"URESMC1","Region of usual residence","Tyne & Wear, Rest of Northern region, South Yorkshire, West Yorkshire, Rest of Yorks & Humberside, East Midlands, East Anglia, Inner London, Outer London, Rest of South East, South West, West Midlands (met county), Rest of West Midlands, Greater Manchester, Merseyside, Rest of North West, Wales, Strathclyde, Rest of Scotland, Northern Ireland, Does not apply, No answer","object","Region_of_usual_residence"
"UNDST1","Whether available to start working longer hours/ job with longer hours, within next two weeks","No answer, Yes, No, Does not apply","object","Whether_available_to_start_working_longer_hours_job_with_longe"
"UNDEMP1","Whether would like to work longer hours, at current basic rate of pay, given the opportunity","No answer, Yes, No, Does not apply","object","Whether_would_like_to_work_longer_hours_at_current_basic_rate_"
"TYSCH121","Employer of Work scheme","Working for an employer, Temporarily away from an employer, Working for a voluntary organisation/charity, Other form of voluntary/community work, Working for an environmental taskforce, In full-time/part-time study, Temporarily away from full-time/part-time study, Receiving help setting up as self-employed, Providing work experience or practical training, Other form of employment training, Other situation, Don’t know, Does not apply, No answer","object","Employer_of_Work_scheme"
"TYPINT1","Type of Interview","No answer, Telephone, Face-to-face, Does not apply","object","Type_of_Interview"
"TYEMPS1","Type of employment sought","Self-employment, Full-time employee, Part-time employee, Employee - no preference, Employee - time not stated, Full-time - no preference, Part-time - no preference, No preference - no preference, No preference - time not stated, Type of employment not stated, Looking for place on government scheme, Does not apply, No answer","object","Type_of_employment_sought"
"TTUSHR1","Total usual hours in main job","No answer, 97 or more, Does not apply","object","Total_usual_hours_in_main_job"
"TTACHR1","Total actual hours in main job","No answer, 97 or more, Does not apply","object","Total_actual_hours_in_main_job"
"TROPP111","Whether employer offered education of training","No answer, Yes, education or training offered, No, not offered, Does not apply","object","Whether_employer_offered_education_of_training"
"TRNLEN1","Length of training course","Less than 1 week, 1 week, less than 2 weeks, 2 weeks, less than 3 weeks, 3 weeks, less than 1 month, 1 month, less than 2 months, 2 months, less than 3 months, 3 months, less than 6 months, 6 months, less than 1 year, 1 year, less than 2 years, 2 years, less than 3 years, 3 years or more, On going  no definate limit, Does not apply, No answer","object","Length_of_training_course"
"TEN11","Accommodation details","Owned outright, Being bought with mortgage or loan, Part rent, Rented, Rent free, Squatting, Does not apply, No answer","object","Accommodation_details"
"TAUT4WK1","in receipt of any tuition or attend any taught classes as part of other learning","No answer, YES, NO, Does not apply","object","in_receipt_of_any_tuition_or_attend_any_taught_classes_as_part"
"SUPVIS21","Responsible for supervising in 2nd job","No answer, Yes, No, Does not apply","object","Responsible_for_supervising_in_2nd_job"
"SUPVIS1","Responsible for supervising","No answer, Yes, No, Does not apply","object","Responsible_for_supervising"
"SUMHRS1","Total actual hours worked in main and second job","No answer, Does not apply","object","Total_actual_hours_worked_in_main_and_second_job"
"STATR1","Employment status in main job (reported)","Employee, Self-employed, Government scheme, Unpaid family worker, Does not apply, No answer","object","Employment_status_in_main_job_reported"
"STAT21","Employment status in 2nd job (reported)","Employee, Self-employed, Government scheme, Unpaid family worker, Does not apply, No answer","object","Employment_status_in_2nd_job_reported"
"START1","Able to start work within 2 weeks","No answer, Yes, No, Does not apply","object","Able_to_start_work_within_2_weeks"
"SOLOR1","Self-employed with or without employees (reported)","No answer, On own, with partner(s) but no employees, With employees, Does not apply","object","Selfemployed_with_or_without_employees_reported"
"SOLO21","Working alone or with employees in 2nd job","No answer, Alone or with partner(s) but not employees, With employees, Does not apply","object","Working_alone_or_with_employees_in_2nd_job"
