"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"MIPER","Person number of person who has left household","","int64","Person_number_of_person_who_has_left_household"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"MIAGE","Age last birthday","","int64","Age_last_birthday"
"MISEX","Sex","Male , Female ","object","Sex"
"MNTHLEFT","Month person left household","April 2007 , May 2007 , June 2007 , July 2007 , August 2007 , September 2007 , October 2007 , November 2007 , December 2007 , January 2008 , February 2008 , March 2008 , April 2008 , May 2008 , June 2008 , July 2008 , August 2008 , September 2008 , October 2008 , November 2008 , December 2008 , January 2009 , February 2009 , March 2009 ","object","Month_person_left_household"
"MORE1YR","Whether left for more than one year","Yes , No ","object","Whether_left_for_more_than_one_year"
"WHERENOW","Where living now","Somewhere else in Northern Ireland , England , Republic of Ireland , Scotland , Wales , Elsewhere in the world ","object","Where_living_now"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
"MIAGEGR","Individual Adult 5 Year Age Bands - Anon","Age 4 and under , Age 5 to 10 , Age 11 to 15 , Age 16 to 19 , Age 20 to 24 , Age 25 to 29 , Age 30 to 34 , Age 35 to 39 , Age 40 to 44 , Age 45 to 49 , Age 50 to 54 , Age 55 to 59 , Age 60 to 64 , Age 65 to 69 , Age 70 to 74 , Age 75 or over ","object","Individual_Adult_5_Year_Age_Bands__Anon"
